keyphrase_stem,keyphrase_eg,count,valid,trait,globalchange
climat chang,climate change,17847,,,1
function group,functional groups,13325,,1,
right reserv,rights reserved,10966,0,,
function trait,functional traits,9570,,1,
drought toler,drought tolerance,7549,,,
drought stress,drought stress,7464,,,1
plant speci,plant species,6308,,,
result suggest,results suggest,6117,0,,
result show,results showed,6026,0,,
environment condit,environmental conditions,5075,,,1
invas speci,invasive species,5037,,,1
speci rich,species richness,4647,,,
plant communiti,plant communities,4485,,,
springer natur,springer nature,4427,0,,
grain yield,grain yield,4271,,,
signific differ,significant differences,4124,0,,
drought,drought,3995,,,1
abiot stress,abiotic stress,3950,,,1
ecolog societi,ecological society,3916,0,,
physiolog trait,physiological traits,3903,,1,
present studi,present study,3775,0,,
ecosystem function,ecosystem functioning,3754,,,
plant trait,plant traits,3665,,1,
morpholog trait,morphological traits,3640,,1,
posit correl,positively correlated,3564,0,,
busi media,business media,3548,0,,
springer scienc,springer science,3548,0,,
water stress,water stress,3516,,,1
plant height,plant height,3387,,,
function divers,functional diversity,3288,,1,
plant growth,plant growth,3178,,,
stress condit,stress conditions,3175,,,1
genet variat,genetic variation,3169,,,
genet divers,genetic diversity,3108,,,
life-histori trait,life-history traits,3046,,1,
water content,water content,3015,,,
quantit trait,quantitative trait,2949,,1,
global chang,global change,2878,,,1
phenotyp plastic,phenotypic plasticity,2807,,,
plant function,plant functional,2763,0,,
grow season,growing season,2762,,,
nativ speci,native species,2726,,,
breed program,breeding programs,2715,,,
signific increas,significantly increased,2702,0,,
stress toler,stress tolerance,2702,,,
communiti composit,community composition,2671,,,
stomat conduct,stomatal conductance,2643,,,
speci composit,species composition,2629,,,
environment factor,environmental factors,2625,,,1
british ecolog,british ecological,2574,0,,
british ecolog societi,british ecological society,2574,0,,
global warm,global warming,2568,,,1
water deficit,water deficit,2519,,,
negat effect,negative effects,2505,0,,
communiti structur,community structure,2484,,,
signific higher,significantly higher,2468,0,,
histori trait,history traits,2458,,1,
heavi metal,heavy metals,2423,,,
climat condit,climatic conditions,2413,,,1
field experi,field experiment,2348,,,
biolog invas,biological invasions,2290,,,1
invas plant,invasive plants,2277,,,1
drought resist,drought resistance,2268,,,
trait relat,traits related,2267,0,,
drought condit,drought conditions,2240,,,1
negat correl,negatively correlated,2203,0,,
speci trait,species traits,2198,,1,
water avail,water availability,2102,,,
agronom trait,agronomic traits,2089,,1,
water potenti,water potential,2073,,,
signific effect,significant effect,2070,0,,
ecosystem servic,ecosystem services,1998,,,
exclus licenc,exclusive licence,1930,0,,
princip compon,principal component,1883,,,
speci divers,species diversity,1851,,,
organ matter,organic matter,1830,,,
growth rate,growth rates,1813,,,
environment chang,environmental change,1812,,,1
global climat,global climate,1805,,,1
signific correl,significantly correlated,1775,0,,
futur climat,future climate,1750,,,1
chlorophyl content,chlorophyll content,1746,,,
plant function trait,plant functional traits,1737,,1,
north america,north america,1726,,,
speci distribut,species distribution,1707,,,
relat water content,relative water content,1666,,,
environment variabl,environmental variables,1653,,,1
univers press,university press,1645,0,,
common garden,common garden,1641,,,
relat water,relative water,1626,,,
close relat,closely related,1607,0,,
tropic forest,tropical forests,1595,,,
poor understood,poorly understood,1547,0,,
posit effect,positive effect,1543,0,,
microbi communiti,microbial communities,1542,,,
biodivers,biodiversity,1538,,,
climat warm,climate warming,1538,,,
princip compon analysi,principal component analysis,1536,,,
spatial scale,spatial scales,1530,,,
show signific,showed significant,1513,0,,
