keyphrase_stem,keyphrase_eg,count,valid,trait,globalchange
ecolog model,ecological modeling,1288,,,
plant biomass,plant biomass,1284,,,
trait includ,traits including,1282,,,
complex trait,complex traits,1281,,,
carboxyl acid,carboxylic acid,1276,,,
isol and purif,isolation and purification,1276,,,
maximum adsorpt capac,maximum adsorption capacity,1275,,,
development stage,developmental stage,1273,,,
aquat organ,aquatic organisms,1271,,,
high signific,highly significant,1269,,,
spain,spain,1268,,,
fertil applic,fertilizer application,1267,,,
metal pollut,metal pollution,1262,,,
higher temperatur,higher temperatures,1260,,,
woodi speci,woody species,1260,,,
x-ray photoelectron spectroscopi,x-ray photoelectron spectroscopy,1260,,,
agronomi,agronomy,1259,,,
transmiss electron microscopi,transmission electron microscopy,1259,,,
ion,ions,1257,,,
carbohydr,carbohydrate,1255,,,
mass spectrometri,mass spectrometry,1253,,,
urban environ,urban environments,1252,,,
trait valu,trait values,1251,,,
"biodegradation, environment","biodegradation, environmental",1247,,,
pathogen,pathogenicity,1245,,,
chromium,chromium,1243,,,
recent studi,recent studies,1243,,,
intern publish,international publishing,1241,,,
springer intern,springer international,1241,,,
springer intern publish,springer international publishing,1241,,,
time factor,time factors,1238,,,
toler trait,tolerance traits,1236,,,
citi,city,1233,,,
coral reef,coral reefs,1233,,,
product system,production systems,1233,,,
high temperatur,high temperature,1232,,,
ion exchang,ion exchange,1232,,,
resourc avail,resource availability,1232,,,
synthesi,synthesis,1230,,,
sorption,sorption,1229,,,
dna sequenc,dna sequence,1228,,,
herbivori,herbivory,1226,,,
stabl isotop,stable isotope,1224,,,
wheat genotyp,wheat genotypes,1224,,,
domin speci,dominant species,1223,,,
ecophysiolog,ecophysiology,1220,,,
yield potenti,yield potential,1220,,,
itali,italy,1219,,,
phosphat,phosphate,1218,,,
carbon sequestr,carbon sequestration,1217,,,
hydrophob,hydrophobicity,1216,,,
random complet block design,randomized complete block design,1215,,,
wood,wood,1215,,,
carboxyl group,carboxyl group,1213,,,
competit,competition,1213,,,
graphen oxid,graphene oxide,1212,,,
cattl,cattle,1211,,,
risk factor,risk factor,1210,,,
pollut control,pollution control,1209,,,
studi examin,study examined,1208,,,
plant develop,plant development,1206,,,
regener,regeneration,1206,,,
mammalia,mammalia,1203,,,
biogeochemistri,biogeochemistry,1201,,,
plantat,plantation,1199,,,
control condit,controlled conditions,1197,,,
field studi,field study,1196,,,
model,modeling,1196,,,
south america,south america,1196,,,
humic acid,humic acid,1195,,,
nitrat,nitrate,1195,,,
water resourc,water resources,1193,,,
nucleotid sequenc,nucleotide sequence,1192,,,
semiarid region,semiarid region,1192,,,
popul distribut,population distribution,1190,,,
triticum,triticum,1189,,,
chlorophyl fluoresc,chlorophyll fluorescence,1187,,,
soil microbiolog,soil microbiology,1185,,,
ecolog process,ecological processes,1179,,,
heavi metal remov,heavy metal removal,1178,,,
reaction kinet,reaction kinetics,1175,,,
under mechan,underlying mechanisms,1175,,,
provid evid,provide evidence,1174,,,
remain poor,remain poorly,1168,,,
food web,food web,1167,,,
alien plant,alien plants,1166,,,
marin environ,marine environment,1166,,,
trait-bas approach,trait-based approach,1166,,,
forest fragment,forest fragments,1163,,,
kinet model,kinetic model,1163,,,
trace element,trace elements,1163,,,
abiot stress toler,abiotic stress tolerance,1162,,,
great potenti,great potential,1162,,,
isotherm model,isotherm model,1161,,,
spatiotempor analysi,spatiotemporal analysis,1161,,,
econom import,economically important,1160,,,
field trial,field trials,1160,,,
relat trait,related traits,1160,,,
elev gradient,elevational gradient,1159,,,
south africa,south africa,1159,,,
adapt strategi,adaptation strategies,1157,,,
nitrogen fixat,nitrogen fixation,1157,,,
franc,france,1154,,,
factor influenc,factors influencing,1152,,,
contamin water,contaminated water,1150,,,
ammonia,ammonia,1149,,,
increas signific,increased significantly,1149,,,
patholog,pathology,1146,,,
cancer cell,cancer cells,1145,,,
plant diseas,plant disease,1144,,,
hydrogen peroxid,hydrogen peroxide,1143,,,
public health,public health,1143,,,
environment filter,environmental filtering,1141,,,
genom sequenc,genome sequence,1141,,,
coleoptera,coleoptera,1136,,,
common attribut,commons attribution,1136,,,
creativ common attribut,creative commons attribution,1136,,,
geograph rang,geographic range,1135,,,
recombin inbr,recombinant inbred,1134,,,
root system,root system,1133,,,
nanocomposit,nanocomposites,1131,,,
non-nat speci,non-native species,1130,,,
scienc press,science press,1130,,,
thermal toler,thermal tolerance,1130,,,
"crops, agricultur","crops, agricultural",1129,,,
veget cover,vegetation cover,1129,,,
canada,canada,1125,,,
larg amount,large amount,1124,,,
signific impact,significant impact,1123,,,
growth promot,growth promoting,1122,,,
soil properti,soil property,1122,,,
phytoplankton,phytoplankton,1116,,,
water-us effici,water-use efficiency,1116,,,
organ farm,organic farming,1115,,,
solubl sugar,soluble sugars,1114,,,
bioreactor,bioreactors,1112,,,
desir trait,desirable traits,1111,,,
anthropogen disturb,anthropogenic disturbance,1107,,,
molecular genet,molecular genetics,1107,,,
signific negat,significant negative,1106,,,
thermodynam,thermodynamics,1106,,,
heavi metal pollut,heavy metal pollution,1104,,,
bacterium isol,bacterium isolation,1103,,,
breed programm,breeding programmes,1103,,,
x ray photoelectron spectroscopi,x ray photoelectron spectroscopy,1103,,,
chemic modif,chemical modification,1102,,,
posit relat,positively related,1101,,,
fresh water,fresh water,1099,,,
biomark,biomarkers,1098,,,
biogeographi,biogeography,1093,,,
concentr (parameters),concentration (parameters),1093,,,
microbi divers,microbial diversity,1093,,,
chines academi,chinese academy,1092,,,
demographi,demography,1091,,,
genet associ,genetic association,1091,,,
mycorrhiza,mycorrhiza,1091,,,
wast compon remov,waste component removal,1091,,,
chemic properti,chemical properties,1090,,,
adsorpt perform,adsorption performance,1089,,,
numer model,numerical model,1089,,,
tempor variat,temporal variation,1087,,,
earli stage,early stages,1086,,,
tropic,tropics,1085,,,
total biomass,total biomass,1083,,,
spatial variat,spatial variation,1082,,,
climat chang scenario,climate change scenarios,1080,,,
health risk,health risks,1080,,,
access articl,access article,1079,,,
soil organ matter,soil organic matter,1079,,,
posit relationship,positive relationship,1077,,,
seedl growth,seedling growth,1077,,,
germplasm,germplasm,1076,,,
poros,porosity,1076,,,
sorption capac,sorption capacity,1076,,,
