keyphrase_stem,keyphrase_eg,count,valid,trait,globalchange
function group,functional groups,46111,NA,1,NA
articl,article,32980,0,NA,NA
climat chang,climate change,29222,NA,NA,1
anim,animals,28496,0,NA,NA
nonhuman,nonhuman,21427,0,NA,NA
right reserv,rights reserved,20085,0,NA,NA
human,human,17553,0,NA,NA
control studi,controlled study,15976,0,NA,NA
drought,drought,13478,NA,NA,1
function trait,functional traits,13451,NA,1,NA
drought stress,drought stress,12847,NA,NA,1
physiolog,physiology,12487,NA,1,NA
result show,results showed,12031,0,NA,NA
ecosystem,ecosystem,12026,NA,?,NA
drought toler,drought tolerance,11936,NA,1,NA
genet,genetics,11354,NA,?,NA
water pollut,water pollution,10941,NA,NA,1
heavi metal,heavy metal,10699,NA,NA,1
result suggest,results suggest,9916,0,NA,NA
soil,soil,9625,NA,?,NA
metabol,metabolism,9228,NA,1,NA
plant speci,plant species,9079,0,NA,NA
biodivers,biodiversity,8946,NA,?,NA
invas speci,invasive species,8563,NA,NA,1
springer natur,springer nature,8316,0,NA,NA
plant communiti,plant community,8229,NA,?,NA
prioriti journal,priority journal,8186,0,NA,NA
soil pollut,soil pollution,8055,NA,NA,1
environment condit,environmental conditions,7963,NA,NA,1
speci rich,species richness,7805,NA,?,NA
present studi,present study,7777,0,NA,NA
adsorpt,adsorption,7745,NA,1,NA
morpholog trait,morphological traits,7702,NA,1,NA
ecosystem function,ecosystem function,7483,NA,1,NA
biomass,biomass,7439,NA,1,NA
plant growth,plant growth,7409,NA,1,NA
environment factor,environmental factors,7393,NA,NA,1
femal,female,7390,0,NA,NA
chemistri,chemistry,7384,NA,1,NA
life histori trait,life history trait,7297,NA,1,NA
abiot stress,abiotic stress,7261,NA,NA,1
genet variat,genetic variation,7031,NA,1,NA
phenotyp,phenotype,7012,NA,1,NA
signific differ,significant differences,6959,0,NA,NA
speci divers,species diversity,6705,NA,?,NA
nitrogen,nitrogen,6588,NA,NA,1
adapt,adaptation,6580,NA,1,NA
quantit trait,quantitative trait,6578,NA,1,NA
growth rate,growth rate,6529,NA,1,NA
grain yield,grain yield,6273,NA,1,NA
male,male,6254,0,NA,NA
physiolog trait,physiological traits,6243,NA,1,NA
unit state,united states,6166,0,NA,NA
plant,plant,6132,0,NA,NA
busi media,business media,5959,0,NA,NA
china,china,5955,0,NA,NA
springer scienc,springer science,5955,0,NA,NA
adsorpt capac,adsorption capacity,5810,NA,1,NA
posit correl,positively correlated,5802,0,NA,NA
forestri,forestry,5696,0,NA,NA
communiti structur,community structure,5685,NA,?,NA
temperatur,temperature,5616,NA,NA,1
biolog invas,biological invasion,5525,NA,NA,1
tree,tree,5523,0,NA,NA
plant height,plant height,5508,NA,1,NA
genotyp,genotype,5504,NA,1,NA
carbon,carbon,5471,NA,NA,1
water,water,5455,NA,NA,1
communiti composit,community composition,5395,NA,?,NA
unclassifi drug,unclassified drug,5350,0,NA,NA
fourier transform infrar spectroscopi,fourier transform infrared spectroscopy,5329,0,NA,NA
morpholog,morphology,5279,NA,1,NA
water stress,water stress,5199,NA,NA,1
microbi communiti,microbial community,5156,NA,?,NA
stress condit,stress conditions,5088,NA,NA,1
nativ speci,native species,5077,0,NA,NA
plant trait,plant traits,5038,NA,1,NA
global chang,global change,5037,NA,NA,1
genet divers,genetic diversity,4922,NA,1,NA
signific increas,significantly increased,4891,0,NA,NA
function divers,functional diversity,4820,NA,1,NA
water content,water content,4777,NA,1,NA
phenotyp plastic,phenotypic plasticity,4771,NA,1,NA
stress toler,stress tolerance,4719,NA,1,NA
global warm,global warming,4711,NA,NA,1
drought resist,drought resistance,4654,NA,1,NA
"water pollutants, chemic","water pollutants, chemical",4581,NA,NA,1
"growth, develop and age","growth, development and aging",4537,NA,1,NA
physiolog respons,physiological response,4507,NA,1,NA
scan electron microscopi,scanning electron microscopy,4477,0,NA,NA
photosynthesi,photosynthesis,4472,NA,1,NA
season,season,4426,NA,NA,1
ph,ph,4405,NA,NA,1
breed program,breeding programs,4386,0,NA,NA
life-histori trait,life-history traits,4365,NA,1,NA
plant leaf,plant leaf,4357,NA,1,NA
grow season,growing season,4350,NA,NA,1
plant (botany),plants (botany),4343,0,NA,NA
pollut,pollution,4330,NA,NA,1
genet variabl,genetic variability,4313,NA,1,NA
agronom trait,agronomic traits,4300,NA,1,NA
signific higher,significantly higher,4289,0,NA,NA
environment pollut,environmental pollution,4271,NA,NA,1
organ matter,organic matter,4261,NA,1,NA
ecosystem servic,ecosystem services,4185,NA,1,NA
ecolog societi,ecological society,4150,0,NA,NA
compar studi,comparative study,4115,0,NA,NA
negat effect,negative effects,4093,0,NA,NA
infrar spectroscopi,infrared spectroscopy,4065,0,NA,NA
climat condit,climatic conditions,4057,NA,NA,1
stomat conduct,stomatal conductance,4057,NA,1,NA
plant root,plant root,4055,NA,1,NA
environment stress,environmental stress,4032,NA,NA,1
speci composit,species composition,4029,NA,?,NA
plant function,plant functional,4007,NA,1,NA
procedur,procedures,3997,0,NA,NA
introduc speci,introduced species,3994,NA,NA,1
enzym activ,enzyme activity,3959,NA,1,NA
adult,adult,3921,0,NA,NA
review,review,3896,0,NA,NA
aqueous solut,aqueous solution,3876,0,NA,NA
fourier transform,fourier transform,3855,0,NA,NA
exclus licenc,exclusive licence,3832,0,NA,NA
urban area,urban area,3826,NA,NA,1
fish,fish,3778,0,NA,NA
triticum aestivum,triticum aestivum,3660,0,NA,NA
environment chang,environmental change,3659,NA,NA,1
forest,forest,3657,0,NA,NA
water deficit,water deficit,3641,NA,1,NA
histori trait,history traits,3640,NA,1,NA
carbon dioxid,carbon dioxide,3607,NA,NA,1
animalia,animalia,3591,0,NA,NA
gene express,gene expression,3535,NA,1,NA
plant leav,plant leaves,3529,NA,1,NA
popul dynam,population dynamics,3522,NA,?,NA
ecolog,ecology,3487,0,NA,NA
negat correl,negatively correlated,3485,0,NA,NA
plant breed,plant breeding,3482,NA,1,NA
transform infrar,transform infrared,3465,0,NA,NA
plastic,plastic,3440,NA,NA,1
signific effect,significant effect,3397,0,NA,NA
field experi,field experiment,3394,0,NA,NA
phylogeni,phylogeny,3384,NA,?,NA
fourier transform infrar,fourier transform infrared,3378,0,NA,NA
concentr (composition),concentration (composition),3361,0,NA,NA
drought condit,drought conditions,3351,NA,NA,1
experiment studi,experimental study,3345,0,NA,NA
water treatment,water treatment,3304,NA,NA,1
trait relat,traits related,3298,NA,?,NA
north america,north america,3260,0,NA,NA
elev temperatur,elevated temperature,3225,NA,NA,1
environment monitor,environmental monitoring,3215,NA,NA,1
water avail,water availability,3193,NA,NA,1
analysi show,analysis showed,3189,0,NA,NA
princip compon analysi,principal component analysis,3153,0,NA,NA
abund,abundance,3144,NA,?,NA
crop,crops,3143,0,NA,NA
chlorophyl content,chlorophyll content,3133,NA,1,NA
grassland,grassland,3133,0,NA,NA
princip compon,principal component,3122,0,NA,NA
surfac properti,surface property,3101,0,NA,NA
river,rivers,3091,0,NA,NA
surviv,survival,3080,NA,1,NA
speci trait,species traits,3065,NA,1,NA
singl nucleotid polymorph,single nucleotide polymorphism,3034,NA,?,NA
result reveal,results revealed,3011,0,NA,NA
evolut,evolution,3004,0,NA,NA
human activ,human activities,2997,NA,NA,1
seedl,seedling,2992,NA,1,NA
scan electron,scanning electron,2979,0,NA,NA
biolog trait,biological traits,2972,NA,1,NA
seed,seed,2949,NA,1,NA
water potenti,water potential,2948,NA,1,NA
growth,growth,2941,NA,1,NA
univers press,university press,2937,0,NA,NA
flower,flowering,2932,NA,1,NA
global climat,global climate,2916,NA,NA,1
forest ecosystem,forest ecosystem,2909,NA,?,NA
fertil,fertility,2904,NA,1,NA
microbiolog,microbiology,2901,0,NA,NA
analysi reveal,analysis revealed,2899,0,NA,NA
europ,europe,2894,0,NA,NA
oxid,oxidation,2883,NA,NA,1
bird,bird,2879,0,NA,NA
tropic forest,tropical forest,2878,0,NA,NA
cadmium,cadmium,2874,NA,NA,1
wheat,wheat,2859,0,NA,NA
wastewat treatment,wastewater treatment,2853,NA,NA,1
invas plant,invasive plants,2847,NA,NA,1
