keyphrase_stem,keyphrase_eg,count,valid,trait,globalchange
function group,functional groups,46111,,1,
articl,article,32980,0,,
climat chang,climate change,29222,,,1
anim,animals,28496,0,,
nonhuman,nonhuman,21427,0,,
right reserv,rights reserved,20085,0,,
human,human,17553,0,,
control studi,controlled study,15976,0,,
drought,drought,13478,,,1
function trait,functional traits,13451,,1,
drought stress,drought stress,12847,,,1
physiolog,physiology,12487,,1,
result show,results showed,12031,0,,
ecosystem,ecosystem,12026,,?,
drought toler,drought tolerance,11936,,1,
genet,genetics,11354,,?,
water pollut,water pollution,10941,,,1
heavi metal,heavy metal,10699,,,1
result suggest,results suggest,9916,0,,
soil,soil,9625,,?,
metabol,metabolism,9228,,1,
plant speci,plant species,9079,0,,
biodivers,biodiversity,8946,,?,
invas speci,invasive species,8563,,,1
springer natur,springer nature,8316,0,,
plant communiti,plant community,8229,,?,
prioriti journal,priority journal,8186,0,,
soil pollut,soil pollution,8055,,,1
environment condit,environmental conditions,7963,,,1
speci rich,species richness,7805,,?,
present studi,present study,7777,0,,
adsorpt,adsorption,7745,,1,
morpholog trait,morphological traits,7702,,1,
ecosystem function,ecosystem function,7483,,1,
biomass,biomass,7439,,1,
plant growth,plant growth,7409,,1,
environment factor,environmental factors,7393,,,1
femal,female,7390,0,,
chemistri,chemistry,7384,,1,
life histori trait,life history trait,7297,,1,
abiot stress,abiotic stress,7261,,,1
genet variat,genetic variation,7031,,1,
phenotyp,phenotype,7012,,1,
signific differ,significant differences,6959,0,,
speci divers,species diversity,6705,,?,
nitrogen,nitrogen,6588,,,1
adapt,adaptation,6580,,1,
quantit trait,quantitative trait,6578,,1,
growth rate,growth rate,6529,,1,
grain yield,grain yield,6273,,1,
male,male,6254,0,,
physiolog trait,physiological traits,6243,,1,
unit state,united states,6166,0,,
plant,plant,6132,0,,
busi media,business media,5959,0,,
china,china,5955,0,,
springer scienc,springer science,5955,0,,
adsorpt capac,adsorption capacity,5810,,1,
posit correl,positively correlated,5802,0,,
forestri,forestry,5696,0,,
communiti structur,community structure,5685,,?,
temperatur,temperature,5616,,,1
biolog invas,biological invasion,5525,,,1
tree,tree,5523,0,,
plant height,plant height,5508,,1,
genotyp,genotype,5504,,1,
carbon,carbon,5471,,,1
water,water,5455,,,1
communiti composit,community composition,5395,,?,
unclassifi drug,unclassified drug,5350,0,,
fourier transform infrar spectroscopi,fourier transform infrared spectroscopy,5329,0,,
morpholog,morphology,5279,,1,
water stress,water stress,5199,,,1
microbi communiti,microbial community,5156,,?,
stress condit,stress conditions,5088,,,1
nativ speci,native species,5077,0,,
plant trait,plant traits,5038,,1,
global chang,global change,5037,,,1
genet divers,genetic diversity,4922,,1,
signific increas,significantly increased,4891,0,,
function divers,functional diversity,4820,,1,
water content,water content,4777,,1,
phenotyp plastic,phenotypic plasticity,4771,,1,
stress toler,stress tolerance,4719,,1,
global warm,global warming,4711,,,1
drought resist,drought resistance,4654,,1,
"water pollutants, chemic","water pollutants, chemical",4581,,,1
"growth, develop and age","growth, development and aging",4537,,1,
physiolog respons,physiological response,4507,,1,
scan electron microscopi,scanning electron microscopy,4477,0,,
photosynthesi,photosynthesis,4472,,1,
season,season,4426,,,1
ph,ph,4405,,,1
breed program,breeding programs,4386,0,,
life-histori trait,life-history traits,4365,,1,
plant leaf,plant leaf,4357,,1,
grow season,growing season,4350,,,1
plant (botany),plants (botany),4343,0,,
pollut,pollution,4330,,,1
genet variabl,genetic variability,4313,,1,
agronom trait,agronomic traits,4300,,1,
signific higher,significantly higher,4289,0,,
environment pollut,environmental pollution,4271,,,1
organ matter,organic matter,4261,,1,
ecosystem servic,ecosystem services,4185,,1,
ecolog societi,ecological society,4150,0,,
compar studi,comparative study,4115,0,,
negat effect,negative effects,4093,0,,
infrar spectroscopi,infrared spectroscopy,4065,0,,
climat condit,climatic conditions,4057,,,1
stomat conduct,stomatal conductance,4057,,1,
plant root,plant root,4055,,1,
environment stress,environmental stress,4032,,,1
speci composit,species composition,4029,,?,
plant function,plant functional,4007,,1,
procedur,procedures,3997,0,,
introduc speci,introduced species,3994,,,1
enzym activ,enzyme activity,3959,,1,
adult,adult,3921,0,,
review,review,3896,0,,
aqueous solut,aqueous solution,3876,0,,
fourier transform,fourier transform,3855,0,,
exclus licenc,exclusive licence,3832,0,,
urban area,urban area,3826,,,1
fish,fish,3778,0,,
triticum aestivum,triticum aestivum,3660,0,,
environment chang,environmental change,3659,,,1
forest,forest,3657,0,,
water deficit,water deficit,3641,,1,
histori trait,history traits,3640,,1,
carbon dioxid,carbon dioxide,3607,,,1
animalia,animalia,3591,0,,
gene express,gene expression,3535,,1,
plant leav,plant leaves,3529,,1,
popul dynam,population dynamics,3522,,?,
ecolog,ecology,3487,0,,
negat correl,negatively correlated,3485,0,,
plant breed,plant breeding,3482,,1,
transform infrar,transform infrared,3465,0,,
plastic,plastic,3440,,,1
signific effect,significant effect,3397,0,,
field experi,field experiment,3394,0,,
phylogeni,phylogeny,3384,,?,
fourier transform infrar,fourier transform infrared,3378,0,,
concentr (composition),concentration (composition),3361,0,,
drought condit,drought conditions,3351,,,1
experiment studi,experimental study,3345,0,,
water treatment,water treatment,3304,,,1
trait relat,traits related,3298,,?,
north america,north america,3260,0,,
elev temperatur,elevated temperature,3225,,,1
environment monitor,environmental monitoring,3215,,,1
water avail,water availability,3193,,,1
analysi show,analysis showed,3189,0,,
princip compon analysi,principal component analysis,3153,0,,
abund,abundance,3144,,?,
crop,crops,3143,0,,
chlorophyl content,chlorophyll content,3133,,1,
grassland,grassland,3133,0,,
princip compon,principal component,3122,0,,
surfac properti,surface property,3101,0,,
river,rivers,3091,0,,
surviv,survival,3080,,1,
speci trait,species traits,3065,,1,
singl nucleotid polymorph,single nucleotide polymorphism,3034,,?,
result reveal,results revealed,3011,0,,
evolut,evolution,3004,0,,
human activ,human activities,2997,,,1
seedl,seedling,2992,,1,
scan electron,scanning electron,2979,0,,
biolog trait,biological traits,2972,,1,
seed,seed,2949,,1,
water potenti,water potential,2948,,1,
growth,growth,2941,,1,
univers press,university press,2937,0,,
flower,flowering,2932,,1,
global climat,global climate,2916,,,1
forest ecosystem,forest ecosystem,2909,,?,
fertil,fertility,2904,,1,
microbiolog,microbiology,2901,0,,
analysi reveal,analysis revealed,2899,0,,
europ,europe,2894,0,,
oxid,oxidation,2883,,,1
bird,bird,2879,0,,
tropic forest,tropical forest,2878,0,,
cadmium,cadmium,2874,,,1
wheat,wheat,2859,0,,
wastewat treatment,wastewater treatment,2853,,,1
invas plant,invasive plants,2847,,,1
habitat fragment,habitat fragmentation,2841,,,1
reproduct,reproduction,2839,,1,
organ pollut,organic pollutants,2833,,,1
signific correl,significantly correlated,2827,0,,
result demonstr,results demonstrate,2824,0,,
close relat,closely related,2762,0,,
grass,grass,2758,0,,
show signific,showed significant,2757,0,,
anim experi,animal experiment,2751,0,,
speci distribut,species distribution,2751,0,,
quantit trait locus,quantitative trait locus,2744,,1,
british ecolog,british ecological,2716,0,,
british ecolog societi,british ecological society,2716,0,,
season variat,seasonal variation,2705,,,1
chemic composit,chemical composition,2704,,1,
electron microscopi,electron microscopy,2697,0,,
studi show,study showed,2693,0,,
toxic,toxicity,2689,,,1
previous studi,previous studies,2687,0,,
genet marker,genetic marker,2675,0,,
studi aim,study aimed,2653,0,,
negat impact,negative impacts,2644,0,,
environment gradient,environmental gradient,2643,,,1
pollut remov,pollutant removal,2643,,?,1
biochar,biochar,2642,0,,
speci differ,species difference,2639,0,,
physiolog stress,physiological stress,2637,,1,
organ compound,organic compounds,2624,,,1
temperatur effect,temperature effect,2622,,,1
futur climat,future climate,2616,,,1
genet analysi,genetic analysis,2614,0,,
australia,australia,2598,0,,
geograph distribut,geographical distribution,2575,0,,
oxygen,oxygen,2575,,,1
agricultur,agriculture,2572,,,1
surfac function,surface functional,2572,0,,
gene,genes,2556,,1,
stress respons,stress response,2542,,1,
find suggest,findings suggest,2541,0,,
bioremedi,bioremediation,2526,,,1
poacea,poaceae,2526,0,,
poor understood,poorly understood,2524,0,,
physicochem properti,physicochemical properties,2522,,1,
transcript factor,transcription factor,2518,0,,
drug effect,drug effect,2516,,?,
phenotyp trait,phenotypic traits,2516,,1,
polym,polymer,2512,0,,
global climat chang,global climate change,2499,,,1
phenotyp variat,phenotypic variation,2496,,1,
fire,fire,2493,,,1
bacterium,bacterium,2491,0,,
phosphorus,phosphorus,2485,,,1
signific affect,significantly affected,2476,0,,
phenolog,phenology,2474,,1,
bacteria,bacteria,2468,0,,
relat water content,relative water content,2458,,1,
compon analysi,component analysis,2456,0,,
genom,genomics,2452,0,,
relat water,relative water,2449,,1,
hexapoda,hexapoda,2447,0,,
breed,breeding,2441,,1,
franci group,francis group,2439,0,,
taxonomi,taxonomy,2424,0,,
posit effect,positive effect,2423,0,,
signific decreas,significantly decreased,2412,0,,
anthropogen effect,anthropogenic effect,2411,,,1
environment variabl,environmental variables,2410,,,1
land use,land use,2406,,,1
relat abund,relative abundance,2406,,?,
organ carbon,organic carbon,2399,,1,
person trait,personality traits,2395,,1,
plant function trait,plant functional traits,2390,,1,
hydrogen bond,hydrogen bonds,2389,0,,
dispers,dispersal,2382,,1,
charcoal,charcoal,2376,,,1
veget,vegetation,2373,0,,
growth respons,growth response,2369,,1,
plant physiolog,plant physiology,2368,,1,
candid gene,candidate genes,2366,,1,
cultivar,cultivar,2366,0,,
local adapt,local adaptation,2366,,1,
protein,protein,2362,,1,
crop yield,crop yield,2344,,1,
climat warm,climate warming,2335,,,1
surfac function group,surface functional groups,2330,,1,
molecular marker,molecular markers,2316,,1,
activ carbon,activated carbon,2307,,,1
risk assess,risk assessment,2306,,,?
amino acid,amino acids,2296,,1,
chemic societi,chemical society,2291,0,,
herb,herb,2290,0,,
environment impact,environmental impact,2284,,,1
isotherm,isotherm,2283,,,1
common garden,common garden,2274,0,,
signific reduc,significantly reduced,2268,0,,
american chemic,american chemical,2260,0,,
american chemic societi,american chemical society,2260,0,,
