group,phrase,count
adaptive traits,abiotic stress,111
adaptive traits,biological invasions,14
adaptive traits,changing climate,58
adaptive traits,climate change,387
adaptive traits,climatic conditions,80
adaptive traits,climatic variables,35
adaptive traits,drought,81
adaptive traits,drought conditions,44
adaptive traits,drought stress,120
adaptive traits,environmental change,17
adaptive traits,environmental conditions,111
adaptive traits,environmental factors,22
adaptive traits,environmental gradients,10
adaptive traits,environmental stress,21
adaptive traits,environmental variables,20
adaptive traits,farming systems,21
adaptive traits,future climate,52
adaptive traits,global change,30
adaptive traits,global climate,27
adaptive traits,global climate change,24
adaptive traits,global warming,44
adaptive traits,habitat fragmentation,9
adaptive traits,human activities,8
adaptive traits,increasing temperature,11
adaptive traits,invasion,14
adaptive traits,invasion success,11
adaptive traits,invasive plants,13
adaptive traits,invasive species,46
adaptive traits,nitrogen fertilization,2
adaptive traits,plant invasion,6
adaptive traits,severe drought,27
adaptive traits,stress conditions,43
adaptive traits,water regimes,14
adaptive traits,water stress,64
agronomic traits,abiotic stress,341
agronomic traits,changing climate,24
agronomic traits,climate change,265
agronomic traits,climatic conditions,33
agronomic traits,climatic variables,5
agronomic traits,drought,166
agronomic traits,drought conditions,143
agronomic traits,drought stress,514
agronomic traits,environmental change,2
agronomic traits,environmental conditions,66
agronomic traits,environmental factors,44
agronomic traits,environmental stress,38
agronomic traits,environmental variables,2
agronomic traits,farming systems,54
agronomic traits,future climate,22
agronomic traits,global change,1
agronomic traits,global climate,37
agronomic traits,global climate change,34
agronomic traits,global warming,43
agronomic traits,increasing temperature,13
agronomic traits,invasion,4
agronomic traits,invasive plants,1
agronomic traits,invasive species,2
agronomic traits,nitrogen fertilization,113
agronomic traits,severe drought,31
agronomic traits,stress conditions,208
agronomic traits,water regimes,67
agronomic traits,water stress,124
biological traits,abiotic stress,4
biological traits,biological invasions,88
biological traits,changing climate,11
biological traits,climate change,274
biological traits,climatic conditions,31
biological traits,climatic variables,11
biological traits,drought,17
biological traits,drought conditions,6
biological traits,drought stress,6
biological traits,environmental change,32
biological traits,environmental conditions,100
biological traits,environmental factors,55
biological traits,environmental gradients,28
biological traits,environmental stress,17
biological traits,environmental variables,65
biological traits,farming systems,7
biological traits,future climate,18
biological traits,global change,59
biological traits,global climate,27
biological traits,global climate change,26
biological traits,global warming,36
biological traits,habitat fragmentation,28
biological traits,human activities,58
biological traits,increasing temperature,13
biological traits,invasion,43
biological traits,invasion success,57
biological traits,invasive plants,17
biological traits,invasive species,179
biological traits,nitrogen fertilization,9
biological traits,plant invasion,22
biological traits,severe drought,4
biological traits,stress conditions,4
biological traits,water regimes,7
biological traits,water stress,5
ecological traits,abiotic stress,8
ecological traits,biological invasions,66
ecological traits,changing climate,19
ecological traits,climate change,296
ecological traits,climatic conditions,26
ecological traits,climatic variables,17
ecological traits,drought,11
ecological traits,drought conditions,1
ecological traits,drought stress,1
ecological traits,environmental change,57
ecological traits,environmental conditions,74
ecological traits,environmental factors,45
ecological traits,environmental gradients,14
ecological traits,environmental stress,15
ecological traits,environmental variables,29
ecological traits,farming systems,2
ecological traits,future climate,21
ecological traits,global change,76
ecological traits,global climate,21
ecological traits,global climate change,16
ecological traits,global warming,47
ecological traits,habitat fragmentation,82
ecological traits,human activities,21
ecological traits,increasing temperature,20
ecological traits,invasion,28
ecological traits,invasion success,43
ecological traits,invasive plants,18
ecological traits,invasive species,104
ecological traits,nitrogen fertilization,1
ecological traits,plant invasion,22
ecological traits,severe drought,1
ecological traits,stress conditions,4
ecological traits,water regimes,3
ecological traits,water stress,1
functional diversity,abiotic stress,21
functional diversity,biological invasions,75
functional diversity,changing climate,33
functional diversity,climate change,564
functional diversity,climatic conditions,59
functional diversity,climatic variables,44
functional diversity,drought,60
functional diversity,drought conditions,9
functional diversity,drought stress,29
functional diversity,environmental change,166
functional diversity,environmental conditions,198
functional diversity,environmental factors,165
functional diversity,environmental gradients,191
functional diversity,environmental stress,32
functional diversity,environmental variables,186
functional diversity,farming systems,38
functional diversity,future climate,56
functional diversity,global change,242
functional diversity,global climate,37
functional diversity,global climate change,31
functional diversity,global warming,35
functional diversity,habitat fragmentation,111
functional diversity,human activities,112
functional diversity,increasing temperature,16
functional diversity,invasion,35
functional diversity,invasion success,35
functional diversity,invasive plants,71
functional diversity,invasive species,142
functional diversity,nitrogen fertilization,11
functional diversity,plant invasion,68
functional diversity,severe drought,11
functional diversity,stress conditions,10
functional diversity,water stress,24
functional groups,abiotic stress,53
functional groups,biological invasions,145
functional groups,changing climate,88
functional groups,climate change,1590
functional groups,climatic conditions,166
functional groups,climatic variables,107
functional groups,drought,188
functional groups,drought conditions,56
functional groups,drought stress,155
functional groups,environmental change,177
functional groups,environmental conditions,394
functional groups,environmental factors,373
functional groups,environmental gradients,132
functional groups,environmental stress,65
functional groups,environmental variables,267
functional groups,farming systems,103
functional groups,future climate,145
functional groups,global change,385
functional groups,global climate,175
functional groups,global climate change,158
functional groups,global warming,243
functional groups,habitat fragmentation,141
functional groups,human activities,176
functional groups,increasing temperature,91
functional groups,invasion,124
functional groups,invasion success,46
functional groups,invasive plants,212
functional groups,invasive species,420
functional groups,nitrogen fertilization,96
functional groups,plant invasion,150
functional groups,severe drought,62
functional groups,stress conditions,51
functional groups,water regimes,24
functional groups,water stress,69
functional traits,abiotic stress,77
